monthly_income,credit_utilization,debt_to_income,savings_rate,missed_payments_12m,age,risk_flag
227481,0.903,0.11,0.251,2,53,1
198103,0.194,0.075,0.367,5,49,1
37624,0.262,0.566,0.099,4,23,1
198012,0.455,0.347,0.144,0,57,1
116193,0.408,0.57,0.037,0,22,0
150821,0.516,0.781,-0.035,2,49,1
180399,0.307,0.783,0.17,0,29,0
138500,0.205,0.621,0.448,5,41,1
206001,0.108,0.484,0.39,1,65,0
228062,0.375,0.229,0.442,1,36,0
26890,0.375,0.508,0.157,4,29,1
42600,0.109,0.369,0.294,3,54,1
127330,0.791,0.109,0.435,5,25,1
198286,0.516,0.153,0.356,4,61,1
221269,0.92,0.396,0.401,0,28,1
99724,0.198,0.308,0.29,2,54,0
241756,0.121,0.207,0.426,2,29,0
181068,0.53,0.452,-0.007,4,30,1
183703,0.699,0.534,0.363,4,23,1
27437,0.123,0.809,0.324,2,62,1
169982,0.425,0.561,0.174,5,55,1
99192,0.485,0.694,0.277,2,50,1
35705,0.192,0.382,0.155,2,59,1
245833,0.697,0.637,0.373,3,29,1
154998,0.555,0.305,0.157,2,49,1
45378,0.096,0.806,0.375,3,36,1
61864,0.782,0.797,0.297,1,31,1
154932,0.47,0.753,0.174,0,46,1
83105,0.244,0.332,-0.072,3,59,1
191510,0.655,0.279,-0.096,0,48,1
89329,0.705,0.661,0.101,3,24,1
71027,0.376,0.281,0.112,3,56,1
183379,0.662,0.145,0.436,3,44,1
108889,0.552,0.342,-0.021,4,53,1
30552,0.091,0.16,0.083,3,54,1
178927,0.854,0.162,0.412,2,31,1
181611,0.715,0.289,0.085,4,55,1
167567,0.32,0.703,0.103,5,28,1
173014,0.327,0.769,0.38,5,22,1
89607,0.92,0.676,0.327,4,35,1
172967,0.482,0.469,0.297,3,30,1
83490,0.078,0.809,-0.04,0,49,1
59696,0.422,0.213,0.176,4,51,1
212895,0.705,0.615,0.185,4,41,0
145402,0.523,0.301,-0.005,4,42,1
197174,0.745,0.627,0.254,5,37,1
70400,0.912,0.273,0.064,2,39,1
200942,0.684,0.304,0.092,5,38,1
170333,0.659,0.354,0.439,2,30,1
95400,0.91,0.113,0.408,5,37,1
76095,0.232,0.481,0.413,5,38,1
181396,0.717,0.241,-0.072,4,35,1
33760,0.14,0.314,0.16,5,29,1
164271,0.93,0.176,0.259,3,51,1
218157,0.918,0.307,0.255,0,62,1
160286,0.715,0.73,-0.079,1,47,1
66081,0.891,0.079,0.36,3,32,1
248665,0.883,0.751,-0.095,4,59,1
107829,0.306,0.841,0.199,3,29,1
142688,0.296,0.697,0.082,5,50,1
208376,0.218,0.639,0.335,4,64,1
66004,0.6,0.561,0.123,3,53,1
125076,0.652,0.198,-0.023,2,36,1
120551,0.262,0.653,0.425,2,58,1
22997,0.285,0.338,0.03,5,28,1
61868,0.415,0.452,0.392,5,40,1
187434,0.875,0.286,0.238,1,29,1
139269,0.723,0.535,0.129,4,51,1
230238,0.648,0.225,0.036,4,26,1
158457,0.683,0.112,0.21,0,56,0
72994,0.565,0.17,0.08,4,49,1
73844,0.695,0.441,0.394,3,24,1
154544,0.424,0.501,0.207,5,40,1
123795,0.279,0.052,0.02,0,23,0
203601,0.107,0.845,0.414,0,51,1
127182,0.212,0.158,0.253,5,62,1
118162,0.944,0.356,0.378,3,45,1
193484,0.837,0.156,0.373,0,32,0
123037,0.526,0.632,0.022,0,22,0
141373,0.656,0.486,0.193,1,36,1
60664,0.298,0.8,0.299,0,23,0
129901,0.603,0.799,0.389,1,34,1
175698,0.08,0.528,0.287,0,36,0
125451,0.445,0.482,0.315,0,29,1
95828,0.261,0.783,0.217,4,59,1
234534,0.339,0.291,-0.021,5,54,1
98774,0.298,0.495,0.225,5,32,1
131988,0.55,0.088,0.089,5,63,1
157484,0.337,0.383,-0.018,3,32,1
144130,0.267,0.23,0.372,1,50,0
167426,0.421,0.383,0.191,3,36,1
106576,0.632,0.788,0.366,0,55,1
69933,0.096,0.352,0.233,0,25,1
219674,0.579,0.587,0.019,1,42,1
24019,0.241,0.202,0.308,5,51,1
202354,0.594,0.214,0.403,4,41,1
119788,0.47,0.569,0.07,2,53,1
142160,0.139,0.835,0.158,2,34,1
128509,0.091,0.741,0.308,0,37,0
173100,0.571,0.384,-0.016,2,35,1
238461,0.271,0.491,0.419,2,37,0
148089,0.92,0.563,0.17,1,43,1
208825,0.542,0.197,0.389,5,24,1
239956,0.812,0.806,0.268,0,47,1
185334,0.258,0.616,-0.095,4,50,1
181961,0.624,0.797,0.402,5,52,1
159516,0.546,0.059,0.191,2,55,0
24493,0.502,0.608,0.137,1,27,1
157464,0.184,0.204,0.19,2,38,0
40714,0.386,0.375,0.211,5,35,1
237071,0.813,0.573,0.372,0,26,1
118872,0.547,0.095,-0.095,1,26,1
133746,0.63,0.315,0.438,0,54,0
80231,0.24,0.744,0.388,3,38,1
39489,0.666,0.274,0.199,5,23,1
242934,0.333,0.819,0.223,5,46,1
98453,0.196,0.242,0.359,3,64,0
106960,0.395,0.642,0.335,5,26,1
110664,0.098,0.4,0.361,2,59,0
176135,0.407,0.669,-0.084,2,49,1
113273,0.548,0.35,0.002,4,63,1
222419,0.607,0.688,0.292,0,38,1
206561,0.756,0.173,0.114,2,27,1
100810,0.45,0.659,-0.044,0,32,1
166010,0.549,0.376,-0.086,2,56,1
176773,0.756,0.741,-0.093,3,45,1
210013,0.861,0.774,0.438,4,54,1
119806,0.203,0.265,0.048,1,25,1
92341,0.429,0.437,-0.058,2,36,1
149971,0.584,0.206,-0.041,2,21,0
107088,0.807,0.354,0.374,3,42,1
235884,0.824,0.829,-0.025,2,59,1
72652,0.481,0.192,0.119,2,39,1
185911,0.492,0.511,0.033,3,38,1
123005,0.379,0.796,0.01,4,32,1
164205,0.074,0.632,0.419,1,49,0
237915,0.674,0.705,0.338,3,64,1
186025,0.323,0.252,-0.015,3,45,1
176744,0.481,0.371,0.179,5,47,1
227282,0.922,0.611,0.347,4,61,1
48670,0.742,0.576,0.095,5,60,1
189091,0.66,0.37,0.314,3,27,1
87826,0.25,0.647,0.207,5,57,1
118073,0.402,0.668,0.224,4,30,1
26438,0.484,0.286,0.406,0,28,0
211404,0.178,0.3,0.15,1,54,0
144823,0.138,0.628,0.149,0,40,1
206326,0.154,0.729,0.256,5,31,1
214114,0.27,0.19,-0.012,4,48,0
80779,0.768,0.554,0.003,5,48,1
213301,0.603,0.208,0.226,3,21,1
73945,0.301,0.613,0.338,4,27,1
160742,0.218,0.311,0.152,2,63,0
158337,0.919,0.301,0.114,3,58,1
112270,0.811,0.544,0.348,5,40,1
174709,0.126,0.157,-0.035,2,28,1
201780,0.177,0.361,0.228,4,45,1
147577,0.622,0.605,0.255,1,56,1
95716,0.176,0.302,0.148,0,43,0
147037,0.173,0.702,0.43,4,62,1
199489,0.493,0.618,0.144,1,26,1
228635,0.735,0.284,0.051,4,39,1
139884,0.559,0.668,0.172,4,28,1
90225,0.748,0.709,0.102,0,49,1
131451,0.142,0.714,0.313,2,23,1
111377,0.826,0.12,0.376,0,36,1
213360,0.579,0.331,0.291,5,48,1
56499,0.756,0.701,0.343,4,43,1
176462,0.535,0.309,0.287,2,57,1
244923,0.513,0.77,0.348,1,47,0
92698,0.83,0.152,0.376,1,30,1
237181,0.273,0.725,0.116,1,57,0
184577,0.423,0.412,0.248,0,46,0
92935,0.675,0.752,0.15,3,41,1
247778,0.747,0.636,0.302,3,61,1
113905,0.815,0.687,0.119,3,34,1
104637,0.796,0.32,0.218,4,52,1
198926,0.736,0.087,0.244,3,22,1
244828,0.192,0.415,0.446,3,33,0
54580,0.844,0.291,0.381,2,26,1
85638,0.124,0.582,0.257,0,46,0
210313,0.679,0.237,0.261,5,27,1
144992,0.12,0.525,0.186,3,21,1
110065,0.785,0.841,0.132,1,51,1
120419,0.13,0.695,-0.043,2,40,1
222758,0.782,0.75,0.253,5,30,1
167663,0.058,0.57,0.142,5,34,1
59681,0.878,0.543,0.143,1,26,1
56703,0.727,0.522,0.111,3,41,1
84955,0.299,0.117,0.204,4,59,1
201004,0.074,0.728,0.382,1,54,0
69452,0.723,0.286,-0.07,1,52,1
83198,0.5,0.525,0.191,0,44,0
54598,0.398,0.721,0.131,4,64,1
143473,0.909,0.666,-0.091,0,21,1
30440,0.88,0.809,0.119,2,61,1
221093,0.424,0.611,-0.055,4,55,1
92736,0.125,0.113,0.407,1,55,0
173730,0.621,0.718,0.275,0,40,1
211354,0.908,0.241,0.034,3,28,1
179601,0.1,0.583,0.262,1,28,1
55969,0.681,0.181,0.424,4,54,1
208944,0.283,0.347,0.312,2,28,0
27695,0.352,0.393,0.188,2,57,1
150062,0.46,0.338,0.175,4,31,1
86877,0.746,0.765,0.271,0,35,1
20673,0.09,0.74,0.035,3,44,1
59343,0.211,0.818,-0.081,5,62,1
104358,0.273,0.783,0.076,0,57,1
151607,0.656,0.092,0.023,4,23,1
38068,0.839,0.743,0.325,2,41,1
139733,0.057,0.211,0.21,2,60,1
116540,0.583,0.445,0.325,1,55,1
84258,0.186,0.796,-0.087,4,43,1
201786,0.839,0.811,-0.099,5,45,1
210635,0.327,0.214,0.441,3,52,0
57322,0.69,0.124,0.407,4,47,1
117646,0.463,0.648,0.219,4,29,1
123376,0.117,0.504,0.139,1,36,1
243061,0.334,0.691,0.285,5,41,1
91291,0.26,0.805,-0.025,4,27,1
63089,0.455,0.301,-0.034,2,34,1
141463,0.289,0.146,-0.013,5,40,1
202682,0.593,0.222,0.371,1,26,0
113255,0.407,0.089,0.064,1,22,0
244028,0.457,0.648,0.037,3,27,1
56645,0.159,0.099,0.33,1,29,1
125010,0.385,0.554,0.255,4,58,1
233056,0.117,0.848,0.009,5,49,1
44111,0.865,0.713,0.082,0,50,1
170440,0.44,0.63,0.173,3,64,1
112784,0.243,0.2,0.054,1,23,0
181736,0.271,0.286,0.127,4,51,1
93341,0.395,0.385,0.253,4,36,1
230283,0.539,0.066,0.11,5,43,1
224848,0.486,0.78,0.176,3,38,1
103591,0.587,0.073,0.346,2,24,1
143649,0.526,0.663,0.45,1,27,1
83216,0.29,0.703,0.404,0,35,1
229031,0.4,0.798,0.445,1,32,1
103362,0.776,0.608,0.403,0,65,1
168806,0.557,0.5,0.004,3,55,1
148564,0.084,0.095,0.231,0,54,0
106962,0.876,0.211,-0.028,5,32,1
241324,0.831,0.098,-0.019,5,30,1
241899,0.524,0.342,-0.06,5,63,1
46484,0.353,0.308,0.437,5,48,1
147716,0.634,0.189,0.433,5,60,1
78520,0.649,0.702,0.108,5,65,1
66585,0.706,0.809,0.422,3,57,1
177912,0.336,0.697,0.236,5,57,1
150071,0.177,0.646,0.031,2,31,1
43258,0.789,0.586,0.301,2,49,1
74967,0.275,0.104,0.041,0,21,1
134876,0.709,0.825,0.387,3,45,1
118395,0.141,0.434,0.375,5,64,1
138302,0.116,0.727,0.062,2,37,0
39451,0.358,0.76,-0.012,0,56,0
44406,0.354,0.838,0.391,5,22,1
191346,0.198,0.762,-0.014,0,42,1
69803,0.418,0.493,0.409,4,37,1
97961,0.264,0.09,0.214,3,30,1
21000,0.435,0.286,0.264,4,51,1
26746,0.236,0.561,0.437,3,28,1
124193,0.474,0.766,0.046,5,55,1
117260,0.847,0.346,0.145,2,49,1
79308,0.803,0.501,-0.017,5,63,1
195149,0.359,0.483,0.434,4,35,1
240409,0.398,0.468,0.431,5,51,1
81772,0.479,0.113,0.397,5,23,1
155480,0.77,0.592,0.241,0,49,1
63821,0.925,0.697,-0.031,3,26,1
134135,0.232,0.708,-0.019,4,37,1
210605,0.873,0.104,0.113,3,56,1
92404,0.518,0.784,-0.093,5,60,1
224914,0.428,0.382,-0.018,4,58,1
46267,0.882,0.5,-0.044,2,55,1
127712,0.288,0.574,0.215,3,23,1
125637,0.179,0.537,0.282,0,46,0
106899,0.671,0.089,0.161,2,44,1
234272,0.764,0.299,0.364,5,64,1
247776,0.255,0.29,0.309,2,38,0
178591,0.631,0.2,0.016,3,52,1
247328,0.387,0.095,0.335,0,40,0
125744,0.172,0.731,0.384,0,32,1
238347,0.231,0.096,-0.082,0,44,0
91821,0.382,0.421,0.118,0,64,1
117639,0.49,0.407,0.428,3,58,1
110242,0.197,0.766,0.312,5,26,1
121335,0.095,0.733,0.329,1,35,0
197653,0.236,0.571,0.182,5,21,1
54685,0.633,0.531,-0.095,2,59,1
100074,0.691,0.617,0.051,3,43,1
77202,0.47,0.592,0.353,3,58,1
154090,0.949,0.823,0.362,4,62,1
94102,0.319,0.136,-0.065,2,61,1
92583,0.285,0.619,0.391,2,33,1
220664,0.266,0.095,0.372,4,46,1
198456,0.176,0.07,0.174,2,37,0
126063,0.399,0.078,0.289,4,33,1
207005,0.25,0.478,0.332,5,43,1
241621,0.203,0.576,0.207,2,27,1
214227,0.283,0.697,0.32,1,64,0
191556,0.13,0.334,0.309,2,47,0
106852,0.385,0.518,0.155,0,51,1
186303,0.575,0.805,-0.061,1,53,1
198440,0.394,0.289,-0.07,1,29,0
109828,0.418,0.506,0.399,3,30,1
207608,0.212,0.115,0.083,1,41,0
21235,0.457,0.218,0.325,4,31,1
220165,0.752,0.154,0.139,3,46,1
145147,0.395,0.08,0.01,2,21,0
218403,0.8,0.202,0.272,5,36,1
249896,0.36,0.153,0.111,4,40,1
235965,0.091,0.809,0.151,4,59,1
133682,0.849,0.846,0.089,3,43,1
63223,0.903,0.785,0.122,1,35,1
54394,0.24,0.068,0.178,0,44,0
227651,0.084,0.751,0.041,4,60,1
32572,0.646,0.573,-0.089,5,28,1
119681,0.161,0.252,0.286,1,65,0
22439,0.321,0.579,0.264,2,60,1
55956,0.427,0.769,0.181,4,28,1
225720,0.146,0.209,0.01,2,54,0
113827,0.683,0.286,-0.078,3,34,1
146003,0.348,0.052,0.269,0,57,0
59097,0.905,0.674,-0.059,5,27,1
188909,0.258,0.841,0.063,3,24,1
65797,0.837,0.732,0.098,5,41,1
50382,0.135,0.657,-0.075,1,63,1
106156,0.372,0.4,0.242,5,26,1
109842,0.215,0.371,0.429,2,45,1
145369,0.77,0.569,0.338,0,29,1
35373,0.933,0.725,-0.043,4,51,1
197836,0.444,0.539,0.329,4,22,1
239817,0.705,0.763,0.166,3,28,1
135523,0.091,0.259,0.073,5,64,1
214936,0.569,0.502,0.438,5,42,1
200418,0.681,0.126,0.264,1,51,1
197286,0.627,0.169,0.355,4,24,1
61137,0.505,0.425,0.173,1,25,1
104052,0.267,0.826,-0.072,1,56,1
125716,0.785,0.113,0.144,4,49,1
150667,0.452,0.145,0.174,5,22,1
128092,0.082,0.489,0.354,4,60,1
153257,0.556,0.574,0.151,2,44,1
234063,0.251,0.414,0.208,4,59,1
192272,0.377,0.412,-0.046,5,35,1
113097,0.797,0.822,0.061,4,44,1
32000,0.857,0.444,0.352,5,47,1
180131,0.226,0.147,0.369,1,50,0
69959,0.695,0.136,0.128,5,64,1
222413,0.853,0.416,0.224,4,29,1
21137,0.527,0.089,0.414,4,51,1
224755,0.879,0.192,0.218,5,29,1
192365,0.59,0.756,0.177,3,47,1
201538,0.736,0.269,0.43,2,49,1
56223,0.421,0.61,0.312,2,65,1
102289,0.691,0.798,0.248,1,34,1
96173,0.668,0.787,-0.027,5,62,1
66612,0.504,0.605,0.077,0,43,1
172779,0.564,0.584,0.13,5,55,1
242114,0.43,0.06,-0.041,3,30,1
34838,0.23,0.65,-0.011,2,64,1
240038,0.106,0.677,0.012,4,23,1
138644,0.142,0.744,0.307,1,62,1
82284,0.51,0.687,0.283,5,63,1
120029,0.399,0.815,0.437,2,56,1
214948,0.276,0.546,0.33,3,35,0
204714,0.689,0.344,0.224,5,59,1
210031,0.918,0.285,-0.002,5,25,1
65559,0.712,0.145,-0.078,2,56,1
62186,0.576,0.254,0.082,5,30,1
104575,0.587,0.669,0.244,5,40,1
170123,0.545,0.108,0.289,4,35,1
156473,0.111,0.454,0.129,4,46,1
77985,0.845,0.581,0.082,2,34,1
182078,0.527,0.847,0.353,5,21,1
110703,0.451,0.774,0.238,4,36,1
198926,0.847,0.355,0.338,0,45,1
209785,0.305,0.779,0.352,2,53,1
136800,0.488,0.287,0.258,2,53,1
45154,0.201,0.815,0.196,0,61,1
195724,0.617,0.221,0.277,0,34,0
204219,0.841,0.643,0.139,0,64,1
140383,0.695,0.08,-0.06,1,37,1
170722,0.789,0.779,0.124,3,61,1
102943,0.065,0.589,0.194,5,60,1
215546,0.577,0.611,-0.06,4,27,1
199798,0.321,0.119,0.321,3,45,1
193204,0.078,0.175,0.021,5,46,1
242682,0.541,0.818,-0.021,5,62,1
22922,0.548,0.494,-0.032,0,57,1
160811,0.543,0.118,0.016,5,43,1
189327,0.816,0.164,0.001,4,37,1
67541,0.654,0.504,-0.07,4,50,1
39174,0.312,0.104,-0.046,5,58,1
106730,0.371,0.587,0.029,2,60,1
70724,0.336,0.411,0.239,2,65,1
168256,0.56,0.696,0.427,1,21,1
225956,0.249,0.642,0.14,2,29,1
106917,0.84,0.42,0.097,2,52,1
66077,0.631,0.116,0.054,1,55,1
212294,0.848,0.111,-0.059,0,53,0
233029,0.574,0.374,0.225,0,56,1
161473,0.475,0.67,0.101,1,58,1
96283,0.17,0.451,-0.05,2,53,1
82621,0.813,0.695,0.238,1,53,1
61739,0.211,0.809,0.263,1,51,0
30595,0.247,0.44,-0.065,2,35,1
74204,0.516,0.683,0.113,3,23,1
190006,0.342,0.613,0.187,2,37,1
169464,0.206,0.573,0.101,5,25,1
118652,0.925,0.228,0.123,2,52,1
178390,0.056,0.756,0.142,1,25,1
93612,0.24,0.2,0.099,5,28,1
128688,0.78,0.626,0.165,3,51,1
62269,0.633,0.379,0.034,1,57,1
55317,0.617,0.081,0.215,0,31,1
67195,0.515,0.374,0.433,5,22,1
210834,0.646,0.277,-0.053,3,59,0
247358,0.484,0.225,0.126,1,58,0
67679,0.611,0.459,-0.008,5,42,1
176377,0.582,0.234,0.112,0,22,1
245336,0.868,0.597,0.355,4,27,1
181152,0.59,0.752,0.192,0,26,1
54164,0.862,0.481,-0.099,5,62,1
130279,0.383,0.085,0.191,1,51,0
119938,0.365,0.694,0.399,5,57,1
55096,0.279,0.663,0.401,0,39,1
162535,0.418,0.201,0.29,0,57,0
156252,0.056,0.574,0.278,2,47,1
60574,0.433,0.518,0.044,4,48,1
180400,0.298,0.594,0.315,3,56,1
146476,0.211,0.497,0.166,2,57,1
204941,0.408,0.16,0.375,0,35,0
203320,0.904,0.13,0.18,2,56,1
199454,0.686,0.179,0.431,0,26,0
143645,0.883,0.398,-0.065,1,44,1
29897,0.702,0.795,0.12,5,54,1
176623,0.102,0.669,-0.004,3,49,1
242971,0.641,0.693,0.057,0,59,1
203094,0.259,0.186,-0.08,1,62,1
61273,0.128,0.271,0.12,5,46,1
72510,0.516,0.64,-0.062,0,56,1
237517,0.553,0.516,0.091,2,35,1
70993,0.459,0.373,-0.097,1,47,1
166441,0.115,0.285,0.421,4,37,1
233161,0.764,0.25,0.144,3,57,1
83772,0.732,0.819,0.152,3,58,1
146345,0.155,0.104,0.249,1,64,0
229757,0.334,0.814,0.184,0,65,0
85079,0.309,0.369,0.312,2,25,1
66788,0.479,0.333,0.392,2,32,0
199072,0.887,0.202,0.305,1,36,0
74205,0.256,0.718,0.36,2,30,1
51425,0.878,0.591,0.265,4,21,1
161944,0.912,0.728,0.104,2,52,1
170606,0.832,0.443,0.441,4,38,1
216652,0.569,0.093,0.34,3,55,1
111039,0.404,0.599,-0.004,0,65,1
102746,0.67,0.059,0.016,4,27,1
180636,0.826,0.2,0.045,2,51,0
109940,0.379,0.449,0.016,5,44,1
125012,0.302,0.194,-0.028,4,64,1
46180,0.699,0.693,0.205,3,33,1
213604,0.185,0.695,-0.003,3,29,0
242662,0.618,0.477,0.074,3,40,1
245051,0.561,0.369,0.28,0,34,0
144921,0.805,0.127,0.31,2,44,1
166143,0.889,0.256,-0.089,0,43,0
178748,0.229,0.511,0.257,1,39,1
196473,0.509,0.67,0.146,0,45,1
141569,0.619,0.166,-0.008,2,47,1
169851,0.414,0.776,-0.056,2,35,1
191183,0.312,0.264,0.255,2,49,0
115201,0.723,0.467,0.148,1,32,1
52778,0.705,0.58,0.417,5,26,1
124083,0.143,0.101,0.383,4,24,1
124074,0.522,0.847,-0.043,4,30,1
122195,0.328,0.248,0.056,5,29,1
239812,0.204,0.078,0.096,2,51,0
248300,0.537,0.268,0.145,5,55,1
176653,0.461,0.649,0.383,3,54,1
159928,0.329,0.328,0.197,0,49,0
128056,0.284,0.293,-0.1,1,43,1
160272,0.057,0.788,0.421,3,40,1
132836,0.768,0.528,0.338,4,44,1
166945,0.443,0.25,0.293,5,45,1
77826,0.287,0.388,0.032,4,65,1
94626,0.634,0.476,0.048,1,25,1
95915,0.149,0.414,0.149,5,60,1
104054,0.067,0.09,0.194,1,27,1
52778,0.694,0.632,0.028,1,21,1
109630,0.428,0.679,0.174,2,50,1
28319,0.347,0.725,0.423,0,38,0
38713,0.539,0.195,0.393,2,45,1
51971,0.927,0.622,0.112,3,36,1
28784,0.229,0.638,-0.048,5,34,1
198636,0.915,0.799,-0.013,5,23,1
164069,0.519,0.253,0.251,1,44,0
246402,0.65,0.829,0.03,3,41,1
228244,0.298,0.146,0.334,0,23,0
201076,0.478,0.527,0.104,0,36,1
43960,0.667,0.321,0.433,5,24,1
188971,0.189,0.479,-0.041,3,35,1
166368,0.76,0.655,0.343,3,33,1
119029,0.372,0.158,0.394,3,49,1
162274,0.677,0.202,0.003,2,41,1
92174,0.831,0.529,0.373,1,25,1
137803,0.316,0.261,0.102,0,61,0
212323,0.217,0.065,0.371,4,36,1
36604,0.642,0.481,0.113,4,64,1
164563,0.189,0.277,0.125,2,28,1
192724,0.11,0.718,-0.029,0,33,1
70231,0.139,0.507,0.36,5,52,1
203845,0.581,0.089,0.021,5,25,1
74719,0.64,0.793,0.358,3,61,1
166281,0.719,0.762,0.352,5,24,1
